,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,
SIM21,2.289538,2.131711,2.746527,0.494726,3.245487,1.756721,3.714284,2.000488,4.006758,4.604653,6.534191,7.635998,7.337311,8.954876,5.843894,5.720516,4.963534,4.990597,5.941932,7.695916,5.05068,5.287887,5.466136,6.826926,7.709647,8.874438,9.383675,9.995018,12.66751,10.88919,8.444856,11.62748,11.40277,13.24621,12.52387,10.70128,12.19009,8.303623,11.28979,10.41854,10.92101,9.787507,11.53907,9.791153,12.63205,12.70011,9.901777,9.634134,9.601349,4.518428,5.556037,5.02009,6.109359,3.996072,5.067998,6.255265,6.763591,6.450943,4.654085,4.940623,6.681018,5.47335,2.642707,3.216247,3.086279,0.228716,2.570132,2.229108,0.759183,3.997012,2.846937,3.111251,3.011462,1.477633,1.782514,3.909128,2.109802,2.669614,1.693764,4.246031,3.270646,-0.39952,0.68545,2.469464,2.783426,4.326226,5.016058,3.804936,1.739359,2.551948,3.070886,3.597539,4.046686,2.439366,2.058316,3.675723,3.239439,2.749743,4.857411,5.579142,
SIM22,3.455799,2.159021,3.935888,3.608014,4.242145,5.468293,4.253242,4.923132,3.118644,2.734266,5.60481,4.102086,4.29133,5.725521,1.114887,-0.01234,4.002316,2.526799,4.166931,4.856585,5.414272,5.026151,4.824642,3.819094,2.087601,3.281542,4.183921,2.820395,2.586414,5.515062,2.017645,2.427909,5.239097,5.157464,7.470168,6.022066,4.495625,6.8107,9.977415,8.972866,7.073788,6.457952,4.815966,4.464651,3.489254,2.683277,4.854716,5.389316,7.237628,5.982102,8.802417,9.098215,9.484167,7.229837,3.390866,5.694073,8.483954,6.527396,5.995437,7.901845,7.594352,4.743379,4.191345,3.695396,5.767502,7.88311,8.207991,4.137747,5.032752,6.071665,5.035792,5.570047,5.877581,4.731289,5.058815,3.69771,1.797803,1.951231,2.613356,0.661774,1.552552,3.523126,4.213985,2.631173,3.962956,4.552522,4.959081,4.924957,5.771318,6.188323,9.209547,5.542007,4.445922,7.34566,7.780116,7.23279,7.240398,7.57893,6.613275,4.995516,
SIM23,4.892306,3.305557,3.954367,4.165196,3.287241,6.048121,2.484035,6.241342,7.141442,5.624571,7.234393,5.534675,5.775597,9.350873,12.11453,11.21474,7.605032,8.689794,6.390647,8.588888,11.52065,12.13988,12.9468,12.2926,15.48252,13.66711,15.29575,13.88159,11.65518,13.31787,12.79499,12.97848,14.17481,12.63663,12.68582,12.99484,12.44632,13.98538,13.43617,13.65874,11.22618,13.176,11.83082,12.39943,10.89069,12.8197,13.49435,12.87661,11.82931,15.89718,12.19544,14.17704,12.93726,8.839795,12.16311,10.5828,11.9744,11.87018,11.06541,14.23754,13.01512,11.66736,11.24271,10.97397,11.1118,11.09511,11.00782,9.17359,10.71476,12.47702,12.1397,13.72923,15.24099,13.24634,12.1156,9.8095,10.9952,9.619749,7.837097,8.746062,9.134369,8.03,7.280025,8.984798,7.187478,8.801181,7.461845,6.480597,6.486203,7.477146,5.77698,4.845378,6.178135,4.909673,7.391556,6.371011,5.572484,3.354583,3.318543,4.485048,
SIM24,0.634279,2.973304,2.480929,2.491452,2.289139,2.373235,3.293748,4.896898,4.147741,4.827572,6.000482,2.007609,4.279002,2.575793,3.545619,3.023072,1.164551,1.830715,2.330343,3.36555,5.108727,3.45313,3.679673,2.95311,4.101685,4.269682,5.848899,6.971954,7.167036,5.268445,6.551173,7.429861,7.352159,8.390269,9.783966,8.289526,7.258621,9.07973,6.266134,7.302217,9.042705,11.68781,14.64161,13.42667,11.34002,11.8556,10.49555,11.06003,10.27462,14.13294,15.91795,11.21499,12.2193,12.85642,12.43575,11.91062,13.72089,12.3904,12.75176,13.24465,10.86238,12.41716,12.95057,12.09912,12.60486,10.6943,11.84269,12.08841,13.98782,11.04674,13.51873,14.91074,14.1636,15.31804,13.87276,14.79626,12.49705,11.55206,10.5694,11.54397,12.13141,12.35631,11.02293,10.34683,10.22129,11.02675,12.47368,11.01632,10.47534,13.66027,12.77045,11.4282,11.47045,13.16709,13.67508,14.08865,12.99804,15.25214,13.01235,14.33377,
SIM25,1.978602,4.289662,3.858655,4.868458,5.162754,5.81225,6.132728,3.312362,3.464087,1.451474,1.736121,1.441424,4.738735,4.62262,4.029213,1.729319,2.128303,2.99058,2.130745,0.504239,0.524364,2.928044,3.059429,1.80904,1.220358,2.634844,3.878574,3.267216,5.54549,3.882164,0.89422,3.338031,3.407489,5.523697,6.215747,6.688392,8.694093,6.738247,5.616686,2.924167,4.273511,1.711554,5.206851,5.875498,6.013088,7.172904,7.578741,10.09483,7.018491,5.529115,7.142965,5.026975,9.48611,8.077661,8.876235,7.940522,7.139885,7.521151,6.780043,7.771384,3.407585,7.253322,3.452299,6.955404,6.642822,4.522903,7.363706,6.813331,7.158713,5.078951,8.758473,9.472946,7.244283,6.958371,8.316138,9.026735,8.004476,4.488972,5.21361,8.605984,4.64505,4.418106,5.426206,6.864267,8.549706,8.031836,9.609419,9.173175,9.571821,8.204978,8.256409,10.81743,8.282605,9.091215,8.181709,5.855105,8.374048,7.28474,7.992015,6.392742,
SIM26,1.667366,3.673689,4.042229,5.989831,5.318992,6.123338,6.980095,8.388872,6.52046,9.026581,11.89905,10.28992,9.377332,11.68184,10.17217,12.55964,12.44284,11.62666,10.80158,13.01961,14.02704,14.33312,17.46418,9.772168,12.99784,14.35914,13.96341,11.58094,13.8202,13.5709,14.11825,10.19101,12.26497,13.99426,11.54452,11.99468,12.53154,14.54603,15.13228,12.77393,13.06255,14.15559,12.99645,12.18453,14.40354,11.14057,13.63396,11.54802,11.78071,13.10109,12.42052,10.64864,12.89154,13.01991,12.68646,11.91003,13.76278,14.25551,14.92731,12.98632,9.848129,11.25587,13.52824,14.6643,11.40762,13.00341,12.45345,11.44551,10.43207,9.334293,13.30722,9.000104,10.2942,12.52517,11.396,11.66375,10.47199,11.38219,10.7368,11.10036,9.930025,10.13624,8.673564,6.521384,6.494836,8.930305,8.966288,6.949685,5.309414,7.164997,4.455605,7.130008,6.887177,8.101573,10.31699,8.266882,6.515102,6.099772,7.612129,7.15706,
SIM27,2.768675,2.362676,4.204163,6.310483,3.701477,4.31934,1.245919,2.61652,2.371718,1.965933,0.23506,1.802161,1.930778,2.817975,0.486822,3.031697,4.446058,4.445788,3.039417,4.168528,2.262784,3.387455,5.224026,4.809621,7.194025,8.827552,9.081143,5.823708,8.918217,9.935266,11.52149,10.48701,11.46366,12.19609,11.7293,12.97733,15.6479,15.07072,11.19129,12.1131,12.84363,10.51034,8.110534,10.10427,11.47557,11.31972,9.771216,10.56809,10.05525,11.7319,13.14618,13.88529,12.68502,11.67227,12.20162,12.4439,14.76648,12.74494,13.56328,14.27357,15.73952,14.65174,11.27858,13.2249,12.08873,14.45506,14.07155,14.72756,12.04582,12.3256,9.869506,12.25201,11.84111,13.04787,11.66571,11.79893,10.80446,10.38669,8.749513,8.398327,9.125417,5.911607,9.019745,10.06684,9.25813,9.908861,10.97408,8.423062,9.740702,8.205352,7.708681,8.618823,7.56673,9.539657,6.089597,6.798949,5.922318,7.914945,6.418738,7.061116,
SIM28,2.370029,3.410938,2.261776,4.164029,7.101917,4.871986,2.894968,3.622559,3.005263,3.030914,1.6424,3.637101,1.365134,3.1763,3.692548,4.784046,5.024278,3.704512,2.898982,3.669362,4.364984,5.752154,6.081178,5.553593,4.975978,3.23945,4.617283,2.333255,1.081435,0.839972,2.735317,2.971564,3.546795,2.158156,0.898706,3.290878,2.593915,2.145124,2.554044,4.673952,5.278138,5.73882,7.835778,7.932829,8.014114,7.27097,3.939638,5.805668,4.464346,4.257147,6.435821,8.844703,8.947689,10.96094,9.632849,10.40152,12.98485,11.69075,13.36806,11.88918,14.00481,15.37796,14.25467,14.00823,13.06462,13.69506,11.20577,13.18149,11.83386,11.38504,10.48832,12.28667,13.54994,12.28425,14.42056,13.63483,13.24847,15.28503,11.75311,12.37699,14.17881,13.39778,13.83359,13.93859,12.84664,13.26406,13.56895,13.34524,14.95059,11.3187,12.13541,13.92654,11.21318,12.57167,11.98889,12.70147,9.447484,9.72949,13.0235,11.95616,
SIM29,3.549838,1.775979,3.53953,3.026329,3.372275,3.638057,4.992149,3.477447,5.022808,1.454996,2.081926,3.223213,5.364728,4.86611,3.372788,4.517794,6.328509,7.164245,4.893678,6.040721,6.20675,2.885216,5.000209,5.595694,5.863681,3.176323,1.531648,3.640825,1.990878,4.472337,3.262493,4.738662,4.22023,4.847754,7.39578,4.574949,6.899965,5.651914,8.116232,5.766254,5.273171,6.270882,6.376134,6.151775,4.938271,4.568758,6.709352,6.239884,7.861572,6.383047,4.632744,3.958384,5.72389,5.543056,4.607724,5.643653,2.782657,4.321341,3.655739,2.79215,1.78636,1.179383,1.555049,1.016719,3.399585,4.403401,1.878215,4.751625,1.469771,3.930658,4.212077,5.885146,7.810818,6.187881,4.55851,6.51412,4.68918,4.640789,6.277133,5.827657,4.852248,5.779486,7.934764,6.426231,6.457499,6.425281,5.515289,8.019253,6.253922,9.20604,5.577335,9.527087,7.460378,7.647856,7.149029,5.447458,7.678502,9.551651,9.351226,6.382469,
SIM30,3.195519,2.650717,1.887993,1.723232,2.679332,0.477898,1.58298,2.309901,4.047042,4.997426,1.903519,1.895432,3.394574,3.519632,4.288616,5.42662,3.830943,5.68807,4.20486,4.495287,3.921792,3.528235,2.760282,5.20636,2.440387,5.06409,3.745131,4.793531,5.377427,3.154333,2.519578,2.398219,3.735351,2.163246,2.254602,2.366453,2.054599,3.832438,3.807237,4.030237,2.736544,2.966189,5.026283,3.260486,5.407816,2.953255,2.076454,2.9871,2.519425,2.760504,4.383972,4.847458,3.038446,5.159555,5.144261,4.561357,5.781422,5.608145,7.822154,6.881165,6.012983,7.738192,8.921149,6.669337,7.743165,5.248548,6.061472,3.187776,4.471298,3.779464,2.456195,3.216465,3.074946,4.251699,1.814649,2.497216,3.545498,4.149046,5.498561,5.811054,5.77137,2.387736,4.57655,5.0803,6.059279,4.149777,3.431483,2.948367,4.743409,6.869737,7.227398,7.819575,3.72251,6.691844,2.701351,4.886914,5.265074,4.544608,5.764137,6.476064,
SIM31,4.978468,5.499038,6.256789,7.4453,5.659566,5.729052,7.478289,6.810543,5.388524,8.361777,7.901107,9.909691,8.388064,8.436012,10.69508,10.62587,10.72249,12.09434,11.66774,9.655661,10.84808,11.27138,13.29197,12.33491,13.42532,13.90025,11.25027,12.85141,13.25833,9.964339,10.93986,13.53008,14.19242,14.76655,10.39247,10.90495,12.35578,11.18013,12.60655,11.59435,9.978557,10.10776,8.923186,11.00312,9.563044,10.02366,8.539549,11.15193,7.997343,7.71257,9.71833,8.929469,10.28467,9.593297,7.623223,7.837269,7.344897,8.677095,9.340437,9.984123,6.470557,7.803,7.01087,7.879025,10.24946,9.997405,6.875911,9.00594,8.64433,11.57124,11.30578,8.674304,9.319058,10.64222,8.348076,8.44189,7.845221,6.606643,6.472612,7.154926,7.750892,8.014331,8.336481,7.020941,9.684072,8.882567,10.22158,9.641726,9.856132,10.33656,8.209634,12.52581,9.917825,10.32391,8.798125,9.799038,10.02734,8.697209,9.383009,10.59555,
SIM32,2.705797,2.976739,4.47955,5.152122,2.386198,2.34588,1.835929,0.642342,1.720658,3.002345,0.726308,3.589507,4.886644,5.392416,4.020418,3.061358,4.081506,4.924587,4.834216,3.274668,5.932511,6.133949,6.353446,6.801409,5.909198,6.618021,6.114216,3.205088,5.29275,5.337691,4.98976,1.418017,0.345461,1.351812,2.4125,3.312822,1.234517,2.149152,3.357806,3.336711,0.913372,2.806602,4.289395,2.249171,3.730113,1.191312,3.088461,2.932193,5.035325,7.939749,8.133378,5.568626,7.874541,9.829556,8.690122,11.24561,8.159194,8.4529,8.044045,9.275747,7.465234,10.07481,7.471301,7.203354,7.59114,9.30291,7.242642,6.819438,7.432997,8.704081,8.516264,8.293567,4.762933,9.343716,8.690282,8.090642,6.933466,6.813118,6.284951,6.29907,5.153655,4.635207,2.922504,1.727176,0.433362,2.00967,1.385919,4.418141,4.041734,4.927521,4.863864,6.04212,6.11529,9.247591,5.066152,2.754626,4.335084,3.180879,3.483391,1.810986,
SIM33,2.833318,0.548908,3.158599,4.799695,4.805156,3.796565,5.071983,5.292641,3.524155,2.078892,3.348923,4.600752,5.058399,7.623931,7.623393,5.907654,7.023818,8.155373,6.121489,4.788394,3.299378,4.064965,6.360513,6.819902,3.647692,3.279211,2.457972,4.020322,2.163168,3.812617,0.913177,2.646517,3.55271,1.549912,3.974303,3.844239,3.459697,4.848405,3.692658,1.857679,4.521533,4.061004,1.093594,2.187902,1.751315,1.553958,3.819618,3.016925,3.950723,2.703032,1.930635,2.49597,3.22436,3.387259,4.022871,4.080166,4.901821,3.901991,3.809604,1.569303,3.34518,1.278537,4.035932,3.430243,0.042096,2.034532,2.552043,2.630971,4.410993,-0.03321,3.680077,5.77046,3.256065,1.912213,3.268357,1.736288,2.186506,0.701914,1.822067,1.933692,-0.02454,2.253255,3.990209,1.827898,3.475652,5.299993,7.994212,5.539503,3.890687,5.294382,3.493672,6.348495,6.334214,6.302922,5.807984,4.78928,7.014505,7.73361,7.197009,8.306715,
SIM34,2.856095,3.894145,0.824055,2.5135,3.000937,5.123543,5.430792,7.246207,7.40686,8.170436,8.33766,7.236857,7.588054,7.235156,5.400435,5.92171,7.412106,9.774357,10.81598,9.018213,9.306434,8.736572,8.716717,10.39662,10.7599,10.32255,10.58463,8.447645,8.452539,9.692339,8.889105,8.007333,8.691822,9.016559,6.869127,7.26474,8.712096,9.809042,10.49318,8.746469,9.553127,9.971607,11.17565,11.3749,12.56663,12.26396,15.4965,12.76294,14.19307,8.994735,11.15571,9.637192,9.53199,9.700104,9.446679,8.201899,6.809001,8.624381,9.236999,7.803442,10.07104,10.91568,13.88036,13.08998,10.9777,12.65229,12.70133,14.64502,11.10531,13.35776,11.98787,10.34767,12.43409,14.43306,11.82216,13.26828,15.68441,11.53228,13.19863,13.0947,12.36686,8.950547,11.40063,9.749075,6.592323,9.044449,8.466357,5.374964,6.903306,7.355,8.132915,7.481165,7.244733,7.440279,8.429042,9.031409,11.86138,10.59149,9.755341,12.93929,
SIM35,1.509896,3.270267,3.245838,4.267789,3.613565,5.234084,8.067908,5.494536,5.338741,8.237077,8.701879,5.848824,6.083519,6.602446,4.120828,4.131528,3.875839,0.368598,2.183385,5.148329,1.896765,2.249774,3.834366,4.433881,-0.24562,3.700506,3.107032,3.214365,1.440765,2.441398,3.629075,4.215477,4.519797,6.079677,3.669478,2.207274,2.800037,4.358994,6.615824,6.362713,8.200239,7.309423,4.483466,5.229091,4.676861,7.053061,8.382811,6.532238,4.033389,4.866901,7.00339,8.762683,7.927029,8.122474,5.953609,5.642673,3.053907,4.206483,5.550885,7.278554,9.317035,4.79865,7.180427,9.720891,10.06257,8.243287,9.382439,8.14635,6.125688,7.506097,7.601741,5.773015,5.228833,6.350125,6.699435,6.477991,2.981315,7.332217,7.113209,7.053999,6.194838,4.117465,3.738475,4.853067,3.926422,4.056526,4.323325,3.515483,5.037193,5.684,5.527696,4.51307,5.667441,4.502804,4.315306,3.724117,0.628504,2.622364,5.067811,2.036329,
SIM36,3.401549,4.004871,5.711826,4.701588,4.698612,5.004197,5.538598,3.846538,5.230431,4.373206,5.434355,3.356676,3.09535,1.46059,0.685367,4.091791,2.92442,2.718169,1.66297,2.254637,4.841196,5.925943,2.28111,4.68262,4.945676,6.286034,7.263841,8.313911,8.954984,8.625472,9.996143,10.79626,7.061443,8.502307,7.223964,7.904337,7.591007,8.301998,6.943259,9.963453,8.529911,6.985619,8.673291,9.117002,11.17505,7.528925,9.089646,9.922865,9.666449,10.04079,11.44441,11.42742,11.10682,9.679522,8.667202,11.51786,12.23197,11.43825,10.66776,10.50735,11.08632,13.06885,13.28296,12.32077,14.62932,12.87051,10.78303,13.13585,10.53134,13.46321,11.83469,11.96674,13.52449,12.85848,13.03569,13.85294,14.13435,12.18225,11.25096,10.26207,12.65228,12.76696,13.84544,13.90507,12.53146,13.25788,14.61332,13.49869,12.52232,12.84032,11.32622,13.29081,12.11386,12.99408,13.72331,12.34291,11.77541,13.61828,11.09686,10.45168,
SIM37,2.187736,2.773975,1.364724,2.482484,3.589841,3.777421,2.464856,2.687578,4.37849,3.397012,5.249876,6.250663,6.172041,8.427234,10.03123,10.21277,11.98216,15.03059,15.47653,14.76473,14.50029,14.06752,13.32764,15.4715,14.53277,13.26893,14.06532,12.54679,10.31878,10.45441,11.6701,12.30948,7.750013,8.831091,6.989317,8.727708,7.870348,8.420705,8.004699,7.882635,3.514128,5.921751,6.433317,6.752667,7.173928,8.194587,10.56337,10.64835,8.917338,8.850836,9.874092,8.370152,12.21416,11.39684,11.62613,11.91111,12.50547,11.52614,10.12716,10.94351,12.70268,11.19453,12.25512,11.3643,12.17835,9.358373,9.053478,10.8109,11.83351,9.608822,10.75046,10.13803,10.91612,11.35309,11.98282,11.19033,10.81673,12.52267,13.94987,11.38697,12.34951,14.29655,13.52409,13.87695,13.06397,14.07407,12.4571,13.88195,14.69942,12.73508,12.19852,13.43114,11.63234,13.69782,12.59635,13.18519,12.1566,12.9054,14.03966,11.95653,
SIM38,4.000495,3.338184,3.309847,1.996751,4.475986,5.698504,2.152462,3.519449,3.104231,2.874479,2.810731,3.795625,2.47362,-0.32999,1.860834,2.420108,5.305108,1.908234,2.982336,5.15882,4.960079,3.469362,3.153388,1.414443,3.677956,2.120433,2.3861,5.869981,3.12188,4.437586,3.755553,3.988951,4.183904,3.022222,3.658577,2.903907,6.476176,2.215157,5.950583,5.496567,4.734465,4.473359,5.635642,5.027395,4.059168,5.000952,6.717622,3.203179,3.366542,6.039735,5.283974,7.222612,8.736948,9.574104,8.2952,8.845913,7.257084,8.51777,9.051837,7.533008,6.863703,8.245184,5.261527,6.025192,6.209864,5.717806,8.582583,4.642152,6.125842,5.611027,5.774705,7.022336,3.574203,4.513514,8.017514,6.799444,5.712406,8.187298,4.70968,4.015236,4.167528,2.484077,3.554883,1.923553,2.501449,2.781151,3.648317,2.470763,2.269026,1.147658,3.033859,0.219069,2.046649,0.616624,0.935339,2.416683,1.708085,1.618431,0.168655,2.860476,
SIM39,2.476192,1.911178,1.15417,3.761998,0.056064,2.789079,4.262288,3.283923,-0.51175,3.11104,2.09571,4.3719,4.411855,1.523364,2.343975,3.007379,1.311767,3.211463,4.940917,3.205178,2.107168,2.790447,3.237453,3.800084,2.628177,3.745937,4.44066,2.648861,4.946872,3.849059,4.318246,4.325653,4.56755,2.088837,4.393257,3.685905,4.936341,1.620609,2.847894,1.977333,0.162222,4.662923,5.068166,1.44652,1.849158,2.896361,2.290517,-0.37814,1.209684,2.644251,4.556702,3.78819,1.735954,1.631431,4.533209,4.724962,4.179122,4.364426,4.082228,4.559488,2.717189,4.15438,5.899705,4.116842,1.216197,4.510496,5.691778,2.373797,2.075453,5.665479,5.910902,5.129118,5.57659,5.91275,5.460234,4.516921,5.028773,6.265184,4.953905,5.955241,7.288133,8.419061,8.139107,8.844662,9.628737,7.757984,7.497525,8.295354,9.529895,10.37957,11.41214,7.995519,7.580544,8.043458,9.267352,8.553438,10.61491,9.444078,11.77738,10.70246,
SIM40,3.496097,-0.03972,2.405616,4.531804,1.123929,2.529829,1.480981,1.872682,0.898101,3.380021,5.057957,4.098543,3.041962,4.353107,6.220001,3.523449,6.135812,6.542783,6.444401,5.149675,3.645019,4.450889,3.07013,3.561887,4.070674,5.039826,6.256925,7.613903,7.973025,7.169081,4.188498,4.808032,5.974669,7.871984,9.259778,7.127123,8.474276,7.855688,8.347042,9.302172,9.696386,7.630391,7.67227,7.485458,8.121977,9.63259,8.219774,10.62159,8.335538,11.03263,12.78928,11.63537,10.46014,12.69987,10.99391,9.955857,9.991632,6.812825,7.27644,8.2756,8.122222,8.302531,8.702518,8.382551,8.778554,7.770145,9.27617,8.148256,8.316252,5.562317,7.224588,9.385412,6.770272,9.565224,7.786028,8.935532,8.057247,7.297694,7.853101,10.26595,11.56478,8.902239,5.628114,5.582991,7.234118,4.364975,5.564642,5.769868,7.110903,9.61502,7.64774,7.029755,5.299787,4.471416,5.880876,5.177912,5.071302,5.745765,7.320154,7.477075,
SIM41,1.330433,3.529967,5.701532,6.596863,6.848065,6.707532,4.160894,5.155184,7.775665,5.446975,5.673019,6.510764,5.398413,5.42008,3.638839,5.062154,3.636383,2.70419,3.706803,4.897318,4.593079,4.011106,3.917733,2.872348,2.951359,2.576296,1.473259,2.735748,1.161136,4.594399,5.242521,3.32697,3.40566,5.796996,4.785681,3.060861,3.223246,4.448517,3.619107,5.004453,1.268543,5.214452,5.92173,4.560149,5.008397,6.961691,7.989282,8.280664,6.061378,8.161685,8.928821,7.452075,6.746048,5.821903,4.239509,2.389339,2.929242,3.423189,3.478556,4.128693,3.454722,0.780331,2.849092,3.095543,6.322622,5.04011,3.386142,4.143964,2.515439,2.286264,1.833674,3.245526,3.790835,2.580656,3.30732,4.035356,4.324216,7.080327,5.10643,6.533476,2.900775,2.902052,2.835397,2.719033,1.043424,2.679032,4.320347,3.108491,3.733858,3.427936,1.569248,3.356251,1.362879,2.962552,3.199946,1.767312,0.986623,2.603895,1.520903,3.779162,
SIM42,4.430846,1.723688,1.601045,2.687433,2.713827,0.24541,1.953573,2.116789,2.184862,2.628931,3.460394,2.043884,3.318975,1.593698,3.162926,2.658134,2.080607,4.37995,3.797628,1.940735,3.148175,1.613432,2.890676,1.605272,3.881415,4.400705,5.749436,6.897713,8.143007,8.679264,11.01283,10.44627,10.91074,8.256542,9.381602,10.28701,10.02254,8.2757,9.081045,10.76346,11.78365,11.21717,10.02898,9.662571,9.702262,8.379948,7.438618,10.05889,8.565377,9.340535,9.55567,8.955859,10.91848,9.61248,10.13966,11.68608,11.07451,11.64342,12.3259,13.78099,13.77711,11.96005,13.32618,11.06542,14.06488,11.03804,10.5473,13.0464,12.96866,13.65504,10.99643,13.43188,11.6253,10.28301,10.52572,14.52825,12.77345,12.85338,11.24259,11.4588,10.39624,12.95793,14.71067,11.9879,12.42578,10.98113,12.51053,12.61848,12.77429,11.93773,11.98985,9.887736,12.81194,12.03773,14.82674,11.95373,13.72136,12.94828,12.60432,13.61677,
SIM43,3.686282,3.186056,3.061621,4.829182,5.480034,5.735701,4.496304,6.27675,5.457354,5.082423,5.192207,6.067184,6.621943,4.58669,5.448038,4.690808,6.094012,7.523451,6.898438,5.881861,5.571978,5.042373,5.158226,6.546777,5.604853,4.956502,4.133852,4.833687,3.699556,5.242519,6.089641,4.746922,1.476565,2.069648,2.227862,3.19389,2.533691,2.756876,3.911495,4.854162,6.33984,3.312872,3.72924,3.305771,3.02218,5.044189,3.052046,1.290557,2.238679,-0.06735,2.138469,1.580926,4.192655,5.562044,4.452467,5.790833,5.093386,6.255643,3.250628,4.931357,1.702434,4.770429,4.054652,5.365175,3.596363,5.802847,5.785874,5.59145,5.646898,6.618875,7.027799,6.966635,5.597085,3.316081,4.545672,6.337345,7.721529,6.592404,6.051613,5.27672,4.793661,4.418683,5.221777,5.842775,3.984026,5.25689,-0.16761,1.403473,0.638898,0.949438,3.727126,1.445881,1.567086,1.358516,4.242662,3.29812,2.617868,3.319804,4.555514,4.006662,
SIM44,4.325862,1.657924,3.79921,4.904913,5.018276,7.208841,9.493575,8.115034,9.246119,10.43011,8.005102,10.31238,6.511434,9.017136,5.655512,7.66172,8.640276,6.905948,8.454345,8.831897,10.7494,9.110477,7.030819,5.922565,2.627217,2.791365,0.93584,2.697765,1.755072,1.369611,1.861621,4.691883,1.791083,3.313867,4.104185,6.122951,7.152773,6.913637,3.140753,9.333422,6.056595,4.187412,2.985585,4.179542,2.324057,3.863574,2.643988,3.805456,3.744852,5.500438,6.058366,5.514738,6.581761,10.09014,8.933444,10.07273,8.80925,9.318328,10.84019,11.3772,9.485501,11.15463,10.78591,11.80559,12.33282,15.07542,13.23346,13.14592,12.07823,13.13991,11.67196,10.39629,10.61878,12.46933,12.54381,11.30661,12.7116,11.93789,13.89146,13.60652,12.57085,12.38299,13.74319,13.29719,13.49331,14.84935,12.40046,15.03591,12.85904,12.21357,12.5442,13.52228,14.68776,14.49244,11.51594,12.13257,10.76508,9.847204,10.30037,9.448402,
SIM45,4.455196,2.083899,3.285628,5.908874,4.48248,7.382175,8.817372,5.680198,7.287521,6.087436,7.383325,6.313295,5.025483,4.852241,4.254357,5.551629,5.706264,6.436572,4.240337,5.955063,5.346995,6.543283,8.360225,6.51406,5.600921,7.599412,9.413684,6.774301,4.789781,4.259245,5.909085,7.547798,4.546894,5.267151,7.108611,4.994571,6.527279,3.286087,3.777909,5.084549,4.62147,4.140775,4.913681,3.936512,2.479477,2.078868,3.56456,2.129925,4.407289,1.933494,4.080193,3.449352,2.116548,3.007402,2.783925,2.144987,2.979677,3.40119,1.778801,4.468721,3.249687,2.835189,3.201944,5.301251,6.525197,6.065904,5.606019,3.353127,2.909341,5.52692,4.900249,4.913833,4.792435,5.628103,3.950218,8.14157,8.7077,10.05365,9.117254,9.335957,7.763078,6.71445,4.49067,4.298979,4.502047,5.80308,6.027735,4.705023,5.669691,4.543294,5.194857,5.801734,5.895054,6.299737,2.735012,4.318581,0.765424,2.539165,2.277828,3.293385,
SIM46,2.579113,0.71652,2.787863,1.845892,1.254019,6.017278,2.752637,2.911706,5.486856,5.256063,4.651958,4.154101,1.853729,2.393293,1.19565,2.126409,3.088994,4.98515,4.956741,5.102053,3.389774,0.072937,3.083928,4.446872,5.194239,6.069536,6.629839,10.02117,6.843869,7.253888,5.783404,5.043458,4.774411,6.52568,4.743426,2.86886,1.520642,4.13948,3.663691,5.362999,5.95218,8.078799,6.731258,5.567067,6.782834,5.438573,5.784791,3.729449,4.336576,5.185626,3.794457,1.193673,1.5166,1.986065,3.033562,1.839894,2.503381,2.345586,4.706559,5.192963,2.145929,3.042613,3.640609,1.877448,3.477088,3.316803,5.125127,4.265553,3.888696,4.275982,3.321845,2.490242,2.108955,3.506701,3.458101,3.230693,5.578029,7.502444,6.461491,3.121386,5.363453,1.085837,2.893363,2.901836,1.076394,2.263641,2.735307,1.866831,3.647593,0.594022,1.615913,3.790897,1.668521,4.025268,2.765657,2.922631,4.37125,4.648077,3.345879,5.262709,
