,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,
SIM11,4.792074,4.18394,1.682929,4.169864,6.571991,2.805128,2.738064,1.047334,0.80469,2.648909,1.729421,2.076517,3.120452,4.765096,3.471746,5.677917,5.947934,7.684013,6.395347,4.733225,6.900454,8.800037,9.438677,5.814891,7.341653,4.056196,8.399861,7.863444,6.253585,6.158905,8.394393,8.923643,7.831647,7.985489,5.691651,3.475417,4.486967,6.235414,7.880805,8.002512,4.784615,6.097712,9.617015,8.657516,10.11435,9.834056,9.20038,9.818852,9.14291,9.416799,7.531298,5.712086,7.739519,6.137928,7.416437,6.880086,10.1637,8.892009,10.27446,12.97396,12.14047,11.02199,11.6436,12.15077,9.573835,7.96638,8.446108,8.985708,9.136992,8.836742,8.373109,6.58922,7.203435,9.219088,10.23354,10.38181,9.144296,8.300798,7.960898,6.296915,8.868666,6.351038,7.883121,9.855749,8.265061,5.514441,7.694579,5.84563,6.496714,8.832289,6.063198,8.469835,7.26371,9.953751,6.16754,6.54149,8.712052,6.935425,7.459219,10.30902,
SIM12,2.116683,2.418703,0.504282,4.295,6.492463,4.197758,5.702993,7.643745,8.962118,9.437209,10.36529,10.3069,11.91115,11.51974,9.833606,9.11415,9.439121,6.22151,7.807786,7.237066,8.887474,8.188549,9.68462,8.523691,10.13797,10.25656,11.28883,9.514415,10.37717,9.63824,13.39893,11.61761,11.70278,11.6633,12.90718,14.55765,12.68314,14.40318,13.06651,13.13675,14.96469,11.25729,14.73928,14.74394,13.39941,13.59806,14.69535,11.40546,12.98269,13.70356,9.021679,11.65927,13.8463,11.55626,11.94722,10.7189,11.53885,10.42249,10.59902,10.93631,12.66125,11.99925,13.07453,12.31746,13.10131,13.24141,10.6075,13.95944,14.52388,13.29362,14.43343,13.28324,11.21414,11.04342,10.65241,8.323644,8.616437,9.837381,9.881828,10.67171,11.4427,10.81891,10.21649,11.76872,11.17352,11.12466,11.41543,14.05418,12.75253,14.91103,13.18229,14.73428,14.06552,13.0367,13.17256,12.18992,14.27436,13.31978,14.21829,13.42626,
SIM13,2.647083,1.687673,1.540841,2.808889,6.184602,4.764813,2.404691,3.694411,1.48272,1.830343,2.925698,2.739345,3.285475,4.082057,2.624876,1.71326,3.008605,3.221053,2.607165,2.490604,1.082016,2.631197,2.772685,1.34446,0.890207,4.676868,5.766575,3.008245,2.950522,3.122027,5.408781,4.419409,4.312535,4.523204,5.753099,4.410141,4.193628,1.686975,2.220569,2.560232,2.887522,2.026096,2.734099,5.194179,6.12905,4.353856,4.731357,4.978676,8.293955,6.153054,6.742262,4.684702,7.327317,5.808126,3.937871,1.783595,3.265279,4.534488,5.765538,4.596097,2.535622,5.118601,2.26228,3.549587,1.211068,2.003618,0.751199,2.337299,1.6993,1.005841,0.575103,1.640287,2.263373,4.865918,2.03418,2.719445,1.874572,2.748971,1.639699,3.794096,4.164337,3.401682,2.614049,3.51866,3.108513,2.737032,4.648925,3.960064,4.563194,6.752441,5.292178,7.077538,4.542975,6.333818,6.216027,7.370515,6.684979,5.34636,5.66325,7.024225,
SIM14,5.280759,4.402662,3.300143,4.343843,2.915951,4.056951,3.696996,1.877341,3.227325,5.614796,3.479867,2.840445,4.013618,1.272472,3.542121,3.863596,3.921807,0.822128,2.733366,2.894698,4.861305,4.580214,5.707319,6.327888,8.44907,10.19128,7.349262,9.72191,8.120717,3.963599,6.887324,5.372707,6.210161,6.22989,5.107823,6.257529,4.722854,5.887346,2.281648,5.78597,3.337343,7.658512,4.659552,3.983482,3.527407,4.014622,4.009567,6.297451,6.092433,7.503964,6.899001,8.25688,7.497992,5.817647,4.679066,5.931103,5.068887,5.430717,5.534722,5.906407,7.336114,6.473961,8.979429,6.099708,7.558414,7.007096,7.224694,9.313177,7.51208,6.753856,6.474081,7.78575,6.081626,5.126318,6.057809,5.811574,7.009599,6.072657,5.912341,6.101505,5.388511,4.788062,4.950141,4.891114,1.763734,4.355104,3.963828,5.661,6.790428,5.851536,5.927745,5.502595,7.769366,7.300871,7.532021,7.901339,8.672902,10.14597,7.514481,9.640607,
SIM15,3.925695,5.80121,5.45863,7.281348,5.984148,4.233834,5.092072,7.049939,7.146119,5.71058,5.811445,6.321946,5.233384,5.715385,4.229124,5.008775,6.397928,3.321605,3.513947,1.447672,1.274019,4.758212,3.85106,4.329485,3.81179,5.710781,1.545185,1.485771,5.904303,4.069034,8.158282,4.420686,4.470213,4.801746,3.101455,2.916784,2.085955,4.556272,1.045471,1.996942,3.964451,2.824531,3.995986,3.072838,3.178262,4.969131,6.813234,2.359911,2.450997,2.528648,2.04519,0.706027,4.235866,6.431705,3.806524,4.761593,4.252722,4.536185,4.842971,1.893827,3.602122,1.043287,3.786883,2.925356,0.643446,3.768291,4.296526,3.693951,4.359344,3.039573,3.230481,4.201581,5.378679,7.48133,3.724104,4.934297,6.92083,3.144696,3.854333,3.130638,1.722074,3.838567,1.73627,3.721527,2.212063,2.35761,1.214821,1.58714,2.549964,1.019538,0.819014,2.657495,5.307381,7.468531,8.615309,9.460322,8.786512,9.258937,6.104392,8.018487,
SIM16,2.565659,3.684541,2.9486,2.248412,4.783467,2.489518,3.340718,1.142659,2.261018,1.996414,3.128179,2.626048,3.226856,3.458583,4.792894,3.008052,3.579864,2.170886,3.191143,2.946202,1.667946,2.088707,1.588898,0.245977,2.514835,2.280019,3.652244,1.516429,2.34795,2.736887,3.904531,3.645458,1.735621,2.269104,2.894677,5.69233,2.620074,2.867062,5.302202,5.582938,7.477841,7.333086,8.482094,4.932767,6.304415,5.103307,3.355039,5.125326,5.80258,4.129971,4.465893,2.647753,0.93557,1.471823,1.90325,1.241625,1.15838,2.619004,1.082606,2.54646,4.509333,3.183273,4.667746,5.560905,4.911476,2.776414,4.001967,3.067214,0.71309,3.71589,3.19901,4.692092,4.09091,5.284513,4.849167,4.649898,1.454899,0.675544,4.042024,4.245208,4.232126,4.405248,2.719699,3.438513,3.064116,4.78778,3.381746,0.788234,0.349839,1.721315,2.796598,4.739237,4.760912,-0.49151,1.135679,1.924657,1.663436,1.916919,2.474119,3.172373,
SIM17,2.714353,0.603973,2.088021,1.605968,4.300596,4.993911,7.481478,7.558116,6.765482,5.980963,5.324779,4.954969,3.963048,3.387147,3.064048,1.801653,1.225879,4.031094,1.55103,3.332292,6.17727,5.483103,5.526592,-0.28156,2.89397,1.892441,2.197482,3.555116,4.868997,5.08896,2.976325,3.013223,1.567766,2.809738,4.035403,5.681612,7.217255,8.916547,9.141517,8.576853,7.126797,9.300915,7.914768,10.13781,11.56783,8.665245,9.454212,6.179081,7.863839,10.36034,10.05225,9.312217,5.310373,3.765996,3.152034,5.162082,7.808469,9.622782,7.104346,6.91754,6.382561,7.285894,8.458583,8.2152,8.335619,8.523433,8.723091,9.622129,9.141777,6.612015,5.684005,2.855733,6.068936,3.038854,5.599616,3.826641,5.917035,6.382837,7.900829,4.726014,5.517085,4.765812,3.937181,4.678063,5.643412,2.953784,3.579034,3.609733,4.01731,2.589753,4.925624,6.833395,6.926245,6.873555,6.948961,4.851806,5.50527,7.771843,6.339793,7.938685,
SIM18,1.701501,2.333965,1.767324,2.878228,5.153847,4.21709,1.845271,5.549792,1.509972,3.104165,1.482076,1.268396,3.52027,2.800327,3.041042,4.474049,4.554154,2.692304,4.207457,3.358833,4.016057,3.48873,0.982909,2.169066,2.112644,1.870826,3.766281,1.520645,3.028888,1.815938,0.724865,1.440742,4.144712,4.792456,3.581879,4.843046,3.711682,4.251934,4.64009,3.359283,4.076117,4.563128,2.7171,1.825141,2.818456,4.779837,2.859736,1.793656,1.163771,0.847882,2.929714,0.939475,4.109225,5.645996,5.722309,6.965659,7.498282,9.809904,10.41922,10.20009,12.43207,10.49264,12.29777,11.56801,12.8354,12.53645,14.20216,13.81706,13.84169,10.51575,13.47055,13.95036,14.21995,12.77877,12.06707,10.60835,10.1992,9.243532,9.360607,9.379276,8.274584,9.124523,7.431804,10.02977,5.410387,9.93171,8.390125,8.716889,8.843865,6.933362,9.672292,11.09863,8.768949,7.94638,8.865528,9.406611,8.933599,9.339429,7.709553,5.355115,
SIM19,2.182769,0.635571,3.875996,0.784607,3.373696,3.848596,6.564161,2.643881,5.724508,2.798902,6.413341,6.352034,8.536241,6.017469,8.114221,5.546184,7.523409,7.335579,7.253708,10.75333,11.19187,10.73291,13.02249,15.16487,11.323,10.16227,10.09339,10.10765,8.446747,10.96955,11.9017,11.73854,11.91499,13.0042,13.06362,13.22065,14.22045,11.64111,12.64419,11.39908,12.00721,11.66919,10.07377,10.89682,8.422044,10.38486,12.82653,10.98046,9.427499,9.783529,5.818861,4.423938,6.984177,6.077841,8.357603,9.092815,6.153817,6.138776,4.050798,5.55386,5.713464,6.940091,6.024655,6.325104,6.967639,5.088608,4.91045,6.384471,7.367359,7.433982,3.908546,5.744686,6.82723,6.463936,4.79395,1.790726,5.584724,2.4786,4.862646,2.580498,1.221676,2.270959,1.921744,2.627169,1.621507,2.691589,2.313144,2.004175,3.733926,3.258658,4.62765,1.39776,2.499217,3.285469,2.807846,2.365453,3.886712,2.059055,3.566047,2.611393,
SIM20,4.016076,3.455335,3.603103,8.191775,7.505378,4.984982,6.201961,7.499393,8.415545,7.314684,6.944065,3.790243,6.74954,5.713121,5.969458,6.670892,7.510474,6.023792,6.255622,7.741512,7.742205,10.28238,7.686765,8.399163,8.83476,10.09934,9.483817,11.13735,10.75159,7.747841,8.1466,5.822454,5.203961,7.860774,4.310726,9.854036,10.13425,7.319329,9.424261,11.32208,11.44591,11.97846,11.5825,9.474271,8.532491,5.720841,6.080542,6.859177,4.161602,4.030724,1.473413,6.115253,3.680419,4.632379,3.487952,3.593738,5.840592,6.21199,5.113555,5.782407,7.535492,3.817292,5.786591,4.225627,2.70563,5.482237,4.200905,4.30023,4.823254,1.703144,3.181283,4.58079,3.752107,7.397622,6.178314,5.245753,5.821596,4.624514,5.313212,6.390504,2.684633,4.671769,3.889796,5.129596,3.904348,4.627346,4.928136,6.306301,7.914358,9.943476,6.407002,8.65964,8.738186,6.494756,8.091947,6.162902,6.127226,8.636994,7.791428,8.554637,
